HTS,description,country,year,Customs Value,First Unit,Second Unit,Landed Duty-Paid Value,Dutiable Value,Calculated Duties,Import Charges,CIF Import Value
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Poland,2024.0,48936,21097.0,0.0,51105,40475,0,2169,51105
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Romania,2024.0,33015,26930.0,0.0,41597,33015,8254,328,33343
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Slovakia,2024.0,50259,18461.0,0.0,61038,46251,0,10779,61038
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",South Korea,2024.0,536882,252544.0,0.0,601126,0,0,64244,601126
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Spain,2024.0,107122,50452.0,0.0,131448,69058,16444,7882,115004
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Switzerland,2024.0,422614,140252.0,0.0,575848,422614,105655,47579,470193
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Taiwan,2024.0,436911,257733.0,0.0,609849,436911,109230,63708,500619
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Vietnam,2024.0,4842575,2734910.0,0.0,6667985,4758028,1186523,638887,5481462
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Australia,2024.0,3194,1332.0,0.0,3344,0,0,150,3344
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Austria,2024.0,593044,138267.0,0.0,863354,538413,134605,135705,728749
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Belgium,2024.0,3852,174.0,0.0,4155,3852,0,303,4155
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Canada,2024.0,3386223,1880445.0,0.0,3404684,0,0,18461,3404684
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",China,2024.0,985445,532756.0,0.0,1369426,985445,323284,60697,1046142
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Germany,2024.0,18900,9232.0,0.0,32328,18900,0,13428,32328
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Greece,2024.0,2402,1325.0,0.0,3132,2402,0,730,3132
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",India,2024.0,886062,404366.0,0.0,1167451,886062,221535,59854,945916
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Italy,2024.0,194253,55025.0,0.0,227731,179657,0,33478,227731
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Japan,2024.0,234777,113702.0,0.0,258254,234777,0,23477,258254
7306305020.0,"OTHER TUBES, PIPES ETC NESOI, WELDED, W CIRC CRS SEC, COLD-ROLLED, W WALL THICKNESS OF 1.65 TO 2.54 MM, NOT COLD-DRAWN, NOT FOR BOILERS ETC, IR/NAL ST",Malaysia,2024.0,48351,23986.0,0.0,65340,48351,12088,4901,53252
